Order ID,Date,Product,Category,Price,Quantity,Total Sales,Customer Name,Customer Location,Payment Method,Status
ORD0001,14-03-25,Running Shoes,Footwear,60.0,3.0,180.0,Emma Clark,New York,Debit Card,Cancelled
ORD0002,20-03-25,Headphones,Electronics,100.0,4.0,400.0,Emily Johnson,San Francisco,Debit Card,Pending
ORD0003,15-02-25,Running Shoes,Footwear,60.0,2.0,120.0,John Doe,Denver,Amazon Pay,Cancelled
ORD0004,19-02-25,Running Shoes,Footwear,60.0,3.0,180.0,Olivia Wilson,Dallas,Credit Card,Pending
ORD0005,10-03-25,Smartwatch,Electronics,150.0,3.0,450.0,Emma Clark,New York,Debit Card,Pending
ORD0006,14-03-25,T-Shirt,Clothing,20.0,1.0,20.0,John Doe,Dallas,Credit Card,Pending
ORD0007,18-03-25,Smartwatch,Electronics,150.0,4.0,600.0,Emma Clark,Houston,PayPal,Completed
ORD0008,02-03-25,Smartphone,Electronics,500.0,1.0,500.0,Sophia Miller,Miami,PayPal,Completed
ORD0009,08-03-25,T-Shirt,Clothing,20.0,3.0,60.0,Sophia Miller,Boston,PayPal,Completed
ORD0010,12-03-25,Smartphone,Electronics,500.0,1.0,500.0,Emily Johnson,San Francisco,Credit Card,Cancelled
ORD0011,17-02-25,Book,Books,15.0,2.0,30.0,David Lee,Boston,Amazon Pay,Pending
ORD0012,13-03-25,Jeans,Clothing,40.0,4.0,160.0,Michael Brown,Dallas,Credit Card,Completed
ORD0013,01-03-25,Laptop,Electronics,800.0,2.0,1600.0,Daniel Harris,San Francisco,Gift Card,Pending
ORD0014,04-03-25,Washing Machine,Home Appliances,600.0,3.0,1800.0,Michael Brown,Miami,Credit Card,Cancelled
ORD0015,20-02-25,Smartwatch,Electronics,150.0,4.0,600.0,John Doe,Seattle,Credit Card,Completed
ORD0016,26-02-25,Refrigerator,Home Appliances,1200.0,1.0,1200.0,John Doe,Boston,Credit Card,Cancelled
ORD0017,01-04-25,T-Shirt,Clothing,20.0,1.0,20.0,Emma Clark,New York,Amazon Pay,Completed
ORD0018,10-02-25,Smartphone,Electronics,500.0,2.0,1000.0,Michael Brown,Los Angeles,Amazon Pay,Completed
ORD0019,22-03-25,Running Shoes,Footwear,60.0,3.0,180.0,Olivia Wilson,Houston,Credit Card,Completed
ORD0020,07-03-25,Headphones,Electronics,100.0,4.0,400.0,Olivia Wilson,Seattle,Debit Card,Pending
ORD0021,05-02-25,Headphones,Electronics,100.0,3.0,300.0,Chris White,Miami,Debit Card,Cancelled
ORD0022,07-03-25,Refrigerator,Home Appliances,1200.0,4.0,4800.0,Olivia Wilson,Houston,Credit Card,Pending
ORD0023,23-02-25,Book,Books,15.0,1.0,15.0,Emma Clark,Houston,Credit Card,Pending
ORD0024,24-03-25,Refrigerator,Home Appliances,1200.0,3.0,3600.0,Chris White,Dallas,Credit Card,Cancelled
ORD0025,02-03-25,Book,Books,15.0,5.0,75.0,Sophia Miller,Seattle,Amazon Pay,Completed
ORD0026,14-02-25,Washing Machine,Home Appliances,600.0,1.0,600.0,Olivia Wilson,Boston,Debit Card,Cancelled
ORD0027,07-02-25,T-Shirt,Clothing,20.0,1.0,20.0,Daniel Harris,New York,Amazon Pay,Pending
ORD0028,03-02-25,Headphones,Electronics,100.0,1.0,100.0,Jane Smith,Chicago,Amazon Pay,Completed
ORD0029,12-02-25,Smartphone,Electronics,500.0,1.0,500.0,Sophia Miller,Denver,Credit Card,Cancelled
ORD0030,10-02-25,Washing Machine,Home Appliances,600.0,3.0,1800.0,Emily Johnson,Dallas,Gift Card,Cancelled
ORD0031,24-03-25,Smartphone,Electronics,500.0,1.0,500.0,John Doe,Houston,Gift Card,Pending
ORD0032,10-03-25,Smartphone,Electronics,500.0,4.0,2000.0,Michael Brown,Seattle,PayPal,Pending
ORD0033,04-02-25,Book,Books,15.0,1.0,15.0,Olivia Wilson,New York,Debit Card,Cancelled
ORD0034,02-04-25,T-Shirt,Clothing,20.0,5.0,100.0,Jane Smith,New York,Credit Card,Pending
ORD0035,02-04-25,Laptop,Electronics,800.0,3.0,2400.0,Emma Clark,Denver,Amazon Pay,Completed
ORD0036,09-02-25,Refrigerator,Home Appliances,1200.0,2.0,2400.0,Sophia Miller,Boston,PayPal,Cancelled
ORD0037,16-02-25,Headphones,Electronics,100.0,3.0,300.0,Michael Brown,New York,Debit Card,Cancelled
ORD0038,26-03-25,Laptop,Electronics,800.0,3.0,2400.0,Olivia Wilson,Chicago,Amazon Pay,Completed
ORD0039,02-03-25,Laptop,Electronics,800.0,2.0,1600.0,Olivia Wilson,San Francisco,PayPal,Completed
ORD0040,26-03-25,Smartwatch,Electronics,150.0,1.0,150.0,Emily Johnson,Seattle,Gift Card,Pending
ORD0041,20-02-25,Book,Books,15.0,1.0,15.0,Jane Smith,Miami,Credit Card,Cancelled
ORD0042,17-03-25,Headphones,Electronics,100.0,3.0,300.0,Jane Smith,Chicago,Amazon Pay,Cancelled
ORD0043,08-02-25,T-Shirt,Clothing,20.0,4.0,80.0,Jane Smith,Denver,Credit Card,Pending
ORD0044,24-03-25,Smartwatch,Electronics,150.0,1.0,150.0,Chris White,Houston,Debit Card,Pending
